timestamp,machine,queue_length
0.0,M1,0
2.101446104995121,M1,1
2.101446104995121,M1,0
2.488077136884594,M1,1
2.488077136884594,M1,0
2.649458543128063,M1,1
2.672992303584283,M1,0
3.756548661833248,M1,1
3.756548661833248,M1,0
4.154688127768237,M1,1
4.154688127768237,M1,0
4.699349724452586,M1,1
4.699349724452586,M1,0
4.864501329414879,M1,1
5.584298260687332,M1,0
6.11331626940455,M1,1
6.11331626940455,M1,0
8.281401878214941,M1,1
8.281401878214941,M1,0
8.70007219666654,M1,1
8.70007219666654,M1,0
9.836909564929043,M1,1
10.223381363165183,M1,2
10.615647408729043,M1,1
10.912104456215335,M1,2
10.977039403869279,M1,3
11.152630436836453,M1,4
11.17748693014002,M1,3
11.78856347801036,M1,4
11.79151384344249,M1,5
11.791548938388862,M1,4
11.794644931302718,M1,5
12.328404531135941,M1,4
12.358938907174414,M1,3
12.738543620740508,M1,2
12.860693181641375,M1,3
13.115065899136088,M1,4
13.423262599679623,M1,3
13.776973969396845,M1,4
13.947168379817757,M1,3
14.257354636355629,M1,4
14.274614928186397,M1,3
14.405997658330586,M1,2
14.598024396579538,M1,3
14.720110933537827,M1,4
14.7793839261089,M1,3
15.214341738351008,M1,2
15.9299963584889,M1,3
16.066050079311754,M1,2
16.27387578409456,M1,1
16.401267630522504,M1,0
16.954634704377916,M1,1
16.954634704377916,M1,0
17.063024625589517,M1,1
17.131065789480395,M1,0
18.090208593164824,M1,1
18.090208593164824,M1,0
19.640224647477748,M1,1
19.640224647477748,M1,0
19.8521912597747,M1,1
19.8521912597747,M1,0
0.0,M2,0
0.11168462837156243,M2,1
0.11168462837156243,M2,0
0.1608517956125819,M2,1
0.1608517956125819,M2,0
0.3038852771305311,M2,1
0.3038852771305311,M2,0
0.4966448512107531,M2,1
0.5680077929824879,M2,2
0.5959059630657095,M2,1
0.8123066645064896,M2,2
0.8579469641806033,M2,3
0.9471472882498067,M2,4
1.1698921637326796,M2,3
1.179281186172395,M2,2
1.1814811318199654,M2,3
1.3258518907286245,M2,4
1.362276882874403,M2,5
1.41174443227009,M2,6
1.4878096735369417,M2,7
1.5630595741741922,M2,8
1.5985624549975208,M2,7
1.6387894773517822,M2,8
1.6816881887047153,M2,7
1.8197262521442368,M2,8
1.879600501352773,M2,7
1.996171298662397,M2,8
2.075339510557178,M2,9
3.028197648829476,M2,10
3.1769777571422884,M2,11
3.204426749223882,M2,12
3.5061442586671,M2,11
3.5084845524363053,M2,10
4.014435952322646,M2,11
4.023544975836663,M2,12
4.104207068707313,M2,13
4.402791574528866,M2,14
4.436914163347073,M2,15
4.651574362601813,M2,14
4.864501329414879,M2,13
4.907397783318996,M2,12
5.635285492783485,M2,11
5.838222611844304,M2,12
5.945369028254099,M2,13
5.968539854777687,M2,12
6.11331626940455,M2,11
6.496009040744846,M2,10
6.964869305538156,M2,11
7.119677800002135,M2,10
8.115703784278939,M2,9
8.79030050198788,M2,8
9.044644334257717,M2,7
9.120748732047918,M2,8
9.450890515523731,M2,7
9.486703840429861,M2,6
9.510330757104164,M2,5
12.079492735495505,M2,4
12.101243821585228,M2,3
12.168701233016197,M2,2
12.471466221210889,M2,1
12.860693181641375,M2,0
0.0,M3,0
0.05521186361820806,M3,1
0.05521186361820806,M3,0
0.21822939864554733,M3,1
0.5959059630657095,M3,2
1.1698921637326796,M3,3
1.179281186172395,M3,4
1.41174443227009,M3,3
1.5630595741741922,M3,2
1.5985624549975208,M3,3
1.6816881887047153,M3,4
1.879600501352773,M3,5
2.101446104995121,M3,4
2.218923494377767,M3,5
2.488077136884594,M3,4
2.649458543128063,M3,3
2.862455803261183,M3,4
3.3310113694148358,M3,5
3.5061442586671,M3,6
3.5084845524363053,M3,7
3.756548661833248,M3,6
4.154688127768237,M3,5
4.455979448937057,M3,6
4.651574362601813,M3,7
4.699349724452586,M3,6
4.907397783318996,M3,7
5.635285492783485,M3,8
5.838222611844304,M3,7
5.945369028254099,M3,6
5.968539854777687,M3,7
6.496009040744846,M3,8
6.964869305538156,M3,7
7.119677800002135,M3,8
8.115703784278939,M3,9
8.281401878214941,M3,8
8.70007219666654,M3,7
8.79030050198788,M3,8
9.044644334257717,M3,9
9.120748732047918,M3,8
9.450890515523731,M3,9
9.486703840429861,M3,10
9.510330757104164,M3,11
9.836909564929043,M3,10
10.223381363165183,M3,9
10.912104456215335,M3,8
10.977039403869279,M3,7
11.152630436836453,M3,6
11.78856347801036,M3,5
11.79151384344249,M3,4
11.794644931302718,M3,3
12.079492735495505,M3,4
12.101243821585228,M3,5
12.168701233016197,M3,6
12.471466221210889,M3,7
13.115065899136088,M3,6
14.598024396579538,M3,5
14.720110933537827,M3,4
15.9299963584889,M3,3
16.954634704377916,M3,2
18.090208593164824,M3,1
19.640224647477748,M3,0
